filename,width,height,class,xmin,ymin,xmax,ymax
156.jpg,4160,2340,e_waste,1095,426,4160,2073
156.jpg,4160,2340,e_waste,1460,1765,2055,2095
161.jpg,4160,2340,e_waste,434,482,4038,1752
161.jpg,4160,2340,e_waste,2103,1400,2951,2060
162.jpg,4160,2340,e_waste,1,169,3879,1778
163.jpg,4160,2340,e_waste,8,169,3695,1582
164.jpeg,780,1040,e_waste,1,11,780,1040
165.jpg,3456,4608,e_waste,320,60,3212,4608
165.jpg,3456,4608,e_waste,2738,1,3456,832
166.jpeg,720,1280,e_waste,1,308,720,1204
167.jpg,2176,4608,e_waste,5,1303,2176,3860
168.jpeg,3000,4000,e_waste,141,662,2884,3562
169.jpg,2176,4608,e_waste,1,1328,2176,3575
170.jpeg,1139,1280,e_waste,28,39,1105,1247
171.jpg,4160,2340,e_waste,547,26,3586,2256
172.jpeg,1280,955,e_waste,1,39,1266,935
173.jpg,4160,2340,e_waste,251,21,3391,2330
173.jpg,4160,2340,e_waste,2842,1117,4099,1665
174.jpeg,1280,720,e_waste,77,33,1010,720
174.jpeg,1280,720,plastic,1112,96,1280,524
174.jpeg,1280,720,paper,964,392,1280,685
175.jpg,4160,2340,e_waste,1,582,4034,2021
176.jpeg,1280,720,e_waste,151,24,1030,720
176.jpeg,1280,720,plastic,886,56,1111,507
176.jpeg,1280,720,e_waste,1048,460,1280,636
177.jpg,2340,4160,e_waste,26,400,2340,2486
177.jpg,2340,4160,e_waste,1,3180,2340,4160
178.jpeg,1040,780,e_waste,92,3,937,780
179.jpg,4160,2340,e_waste,40,113,3705,2135
180.jpg,4160,2340,e_waste,1,282,3947,1943
181.jpeg,720,1280,e_waste,1,231,720,1155
182.jpeg,1280,720,e_waste,1,3,1280,720
183.jpeg,720,1280,e_waste,1,1,720,1243
184.jpeg,1280,720,e_waste,380,1,1057,681
185.jpeg,780,1040,e_waste,1,94,780,1015
186.jpeg,1040,780,e_waste,1,77,1040,780
187.jpeg,780,1040,e_waste,1,126,780,1015
188.jpeg,1280,721,e_waste,247,1,922,721
189.jpeg,1280,720,e_waste,164,34,1010,720
190.jpeg,1280,960,e_waste,246,6,1280,960
191.jpeg,1152,648,e_waste,42,102,1076,481
192.jpeg,1152,648,e_waste,144,90,968,601
193.jpeg,1152,648,e_waste,261,13,909,648
207.jpeg,1152,864,e_waste,103,58,1152,809
208.jpeg,1152,864,e_waste,82,170,1152,700
209.jpeg,864,1152,e_waste,1,191,764,1072
